"Link Youtube","Judul","Nama Channel","Link Channel","View","Waktu","Verifikasi 3"
"https://www.youtube.com/shorts/bAYTk0hi9z0","Istri rasa pacar 😍😍😱 #raffiahmad #ransentertainment #nagitaslavina #cipung #ikn #romantis","KamarCahaya","https://www.youtube.com/@kamarcahaya08","28K views","1 day ago",""
"https://www.youtube.com/watch?v=DLhfmB92ULs&pp=ygUDaWtu","VIRAL,, EMOSI AKADEMISI KALTIM MELED4K,, BONGKAR AKTOR BOS SAWIT DIBALIK PENYIYIR IKN ??","Grobogan Gokil","https://www.youtube.com/@grobogangokil3236","102K views","1 day ago",""
"https://www.youtube.com/watch?v=0cdg9h6L__0&pp=ygUDaWtu","Modifikasi Cuaca IKN Demi Cegah Hujan, 24 Jam Nonstop, Gunakan 4 Pesawat","Kompas.com","https://www.youtube.com/@kompascom","2.6K views","1 day ago","Verified"
"https://www.youtube.com/shorts/H_LzQ2DTl8w","Pernyataan Presiden Jokowi Mengenai Kesiapan Pembangunan Ibukota Nusantara #ikn #jokowi","TVRI Nasional","https://www.youtube.com/@TVRINasional","787 views","1 day ago","Verified"
"https://www.youtube.com/shorts/CKfDTZpu_ME","Presiden Jokowi Pastikan Tidak Ada Kejahatan di Wilayah IKN Demi Menjamin Keamanan yang Optimal","TRIBUNWOW OFFICIAL","https://www.youtube.com/@TRIBUNWOWOFFICIAL","788 views","1 day ago",""
"https://www.youtube.com/shorts/ONVnZBnYCO0","Rencana berkantor di IKN, akhirnya berhasil‼️ musuh Jokowi Mulai cari jalan untuk beri kritikan😁","KevynLeyn_Art's","https://www.youtube.com/@KevynLeyn","5K views","1 day ago",""
"https://www.youtube.com/shorts/HSOgJc8rLQ8","Hari Pertama Jokowi 'Soft Ngantor' Di IKN #shorts","METRO TV","https://www.youtube.com/@metrotvnews","10K views","1 day ago","Verified"
"https://www.youtube.com/shorts/Qhjw9k4pr0I","Raffi Ahmad Jajal Jalan Tol IKN Bareng Jokowi","Mau Tau Aja","https://www.youtube.com/@mautauaja.y","4.1K views","1 day ago",""
"https://www.youtube.com/watch?v=QnvTg-93DDc&pp=ygUDaWtu","Hari Ke-2 'NGANTOR' di IKN, Presiden Jokowi Agendakan Bertemu Pengusaha","KompasTV Makassar","https://www.youtube.com/@KompasTVMakassarChanneL23UHF","196K views","1 day ago","Verified"
"https://www.youtube.com/shorts/wiMG3_vqNuc","Jokowi Jajal Jalan Tol Menuju IKN ditemani Basuki Serta Artis dan Influencer","dhani mardhani","https://www.youtube.com/@dhanimardhani","1.9K views","1 day ago",""
"https://www.youtube.com/watch?v=eGFXwm71rO4&pp=ygUDaWtu","IKN TERKINI! 1TAHUN PEMBANGUNAN TOL IKN SEGMEN 5A JEMBATAN P.BALANG-SP.TEMPADUNG  30 Juli 2024","Mbah Min Bpn 🇮🇩","https://www.youtube.com/@iknkaltim","14K views","1 day ago",""
"https://www.youtube.com/shorts/DiCSeMt3fIQ","Pulang dari IKN langsung anter cekokah anak wedokku❤️","AH","https://www.youtube.com/@AttaHalilintar","106K views","1 day ago","Verified"
"https://www.youtube.com/shorts/-jr_TV0T38k","Presiden Jokowi ungkapkan dirinya tidak nyenyak tidur di IKN.","AGUNG NEWS","https://www.youtube.com/@agungnews1","3K views","1 day ago",""
"https://www.youtube.com/shorts/VMRnbWUNGP4","Strategi Proyek Bandara IKN Jelang 17 Agustus #bandara #ikn","TVRI Nasional","https://www.youtube.com/@TVRINasional","588 views","1 day ago","Verified"
"https://www.youtube.com/shorts/t2B3XhK8P9I","ARTIS YANG DIAJAK PAK JOKOWI KE IKN. NANTI SANA BENERAN ADA STADION TIMNAS?? #timnasindonesia","Andi Hidayat","https://www.youtube.com/@andihidayat","2.2K views","1 day ago",""
"https://www.youtube.com/shorts/EfTwCSZIiJw","Jokowi Respons Soal Pejabat Definitif Kepala Otorita IKN #Shorts","Hward Viral News","https://www.youtube.com/@hwardviralnews","1.9K views","1 day ago",""
"https://www.youtube.com/shorts/Bi-5WDDNaPA","Makan Malam Mewah Jokowi dan Influencer di IKN","INFOINDONESIA TV","https://www.youtube.com/@INFOINDONESIATV","1K views","1 day ago",""
"https://www.youtube.com/shorts/bAYTk0hi9z0","Istri rasa pacar 😍😍😱 #raffiahmad #ransentertainment #nagitaslavina #cipung #ikn #romantis","KamarCahaya","https://www.youtube.com/@kamarcahaya08","28K views","1 day ago",""
"https://www.youtube.com/watch?v=DLhfmB92ULs&pp=ygUDaWtu","VIRAL,, EMOSI AKADEMISI KALTIM MELED4K,, BONGKAR AKTOR BOS SAWIT DIBALIK PENYIYIR IKN ??","Grobogan Gokil","https://www.youtube.com/@grobogangokil3236","102K views","1 day ago",""
"https://www.youtube.com/watch?v=0cdg9h6L__0&pp=ygUDaWtu","Modifikasi Cuaca IKN Demi Cegah Hujan, 24 Jam Nonstop, Gunakan 4 Pesawat","Kompas.com","https://www.youtube.com/@kompascom","2.6K views","1 day ago","Verified"
"https://www.youtube.com/shorts/H_LzQ2DTl8w","Pernyataan Presiden Jokowi Mengenai Kesiapan Pembangunan Ibukota Nusantara #ikn #jokowi","TVRI Nasional","https://www.youtube.com/@TVRINasional","787 views","1 day ago","Verified"
"https://www.youtube.com/shorts/CKfDTZpu_ME","Presiden Jokowi Pastikan Tidak Ada Kejahatan di Wilayah IKN Demi Menjamin Keamanan yang Optimal","TRIBUNWOW OFFICIAL","https://www.youtube.com/@TRIBUNWOWOFFICIAL","788 views","1 day ago",""
"https://www.youtube.com/shorts/ONVnZBnYCO0","Rencana berkantor di IKN, akhirnya berhasil‼️ musuh Jokowi Mulai cari jalan untuk beri kritikan😁","KevynLeyn_Art's","https://www.youtube.com/@KevynLeyn","5K views","1 day ago",""
"https://www.youtube.com/shorts/HSOgJc8rLQ8","Hari Pertama Jokowi 'Soft Ngantor' Di IKN #shorts","METRO TV","https://www.youtube.com/@metrotvnews","10K views","1 day ago","Verified"
"https://www.youtube.com/shorts/Qhjw9k4pr0I","Raffi Ahmad Jajal Jalan Tol IKN Bareng Jokowi","Mau Tau Aja","https://www.youtube.com/@mautauaja.y","4.1K views","1 day ago",""
"https://www.youtube.com/watch?v=QnvTg-93DDc&pp=ygUDaWtu","Hari Ke-2 'NGANTOR' di IKN, Presiden Jokowi Agendakan Bertemu Pengusaha","KompasTV Makassar","https://www.youtube.com/@KompasTVMakassarChanneL23UHF","196K views","1 day ago","Verified"
"https://www.youtube.com/shorts/6wrWAO7dU90","selanat malam boskuh ini lah hasil ahir pembuatan dapur hotel nusantara #ikn #viral #beritaterkini","unyil","https://www.youtube.com/@unyil9903","516 views","1 day ago",""
"https://www.youtube.com/shorts/-C59ZQALSkc","🔴IRWANSYAH DAN ZASKIA SUNGKAR KAGET IKN KEREN BANGET #ikn #indonesiamaju #shorts","IndonesiaPedia","https://www.youtube.com/@IndonesiaPedia346","7.5K views","1 day ago",""
"https://www.youtube.com/watch?v=ezUEPNpdslw&pp=ygUDaWtu","Warga Sekitar IKN Nusantara Heran Jembatan Belum Rampung Sudah Diresmikan,Kritik Jokowi & Para Artis","Tribun Kaltim Official","https://www.youtube.com/@tribunkaltimofficial","176K views","1 day ago","Verified"
"https://www.youtube.com/shorts/CanOo5cSUP0","Presiden Jokowi Borong influencer Ke IKN😳","AYAH RUI","https://www.youtube.com/@indonesia_love","31K views","1 day ago",""
"https://www.youtube.com/watch?v=0iZdL3Jx_x0&pp=ygUDaWtu","EXCLUSIVE!!INI RASANYA TOURING BARENG PRESIDEN! RAFFI NAGITA MENIKMATI JALAN2 DI IKN..","Rans Entertainment","https://www.youtube.com/@RansEntertainment","245K views","1 day ago","Verified"
